Sr. No. ,Institute Code ,Institute Name 
139,6220,"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur"
140,6222,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji."
141,6223,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur"
142,6224,"Shri Venkateshwara shikshan Sanstha's Venkteshwara Institute of Management, Peth Naka"
143,6225,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji."
144,6228,"Dr. D. Y. Patil Pratishthan's D.Y.Patil Institute of Master of Computer Applications and Management, Akurdi, Pune "
145,6229,"Indira Institute of Management, Tathawade,Mulsi, Pune"
146,6231,"Sinhgad Technical Education Society's Sinhgad Institute of Management ,Vadgaon(Budruk),Pune"
147,6232,"Maharashtra Education Society's Institute of Management and Career Courses (IMCC), Pune"
148,6236,"Sinhgad Technical Education Society's , Sinhgad Institute of Business Administration & Research, Kondhawa-Saswad Road, Pune"
149,6237,"Deccan Education Society's Technical Institute ,Pune"
150,6239,"Sinhgad Technical Education Society, Sinhgad Institute of Management & Computer Application, Narhe (Ambegaon), Pune"
151,6240,"Siddhant Institute Of Computer Application, Sudambare"
152,6245,"Dr. D. Y. Patil School Of Architecture, Lohegaon, Pune"
153,6248,"KFS - Krishna Institute of Computer Application & Management, Wathar"
154,6249,"Audyogik Shikshan Mandal's Institute of International Business & Research, Pune"
155,6250,"D.Y. Patil College of Engineering and Technology, Kolhapur"
156,6255,"Maharashtra Academy of Engineering & Educational Research's Maharashtra Institute of Pharmacy, Pune"
157,6256,"Bharati Vidyapeeth's College of Pharmacy, Kolhapur"
158,6257,"Rajgad Dnyanpeeth's College of Pharmacy, Bhor"
159,6258,"Siddhant College of Pharmacy, Sudumbre "
160,6259,"Gourishankar Education & Charitable Trust, Gourishankar Polytechnic,Limb, Satara"
161,6260,"Rajgad Dnyanpeeth's College of Pharmacy, Bhor"
162,6261,"Maharshi Karve Stree Shikshan.Samstha's ,Dr. Bhanuben Nanavati College of Architecture for Women, Karvenagar, Pune"
163,6263,"Sinhgad College of Architecture, Vadgaon (BK), Pune"
164,6264,"Shree Prince Shivaji Maratha Boarding's College of Architecture, Kolhapur"
165,6265,"Walchand Institute of Technology, Solapur"
166,6266,"Shetkari Shikshan Mandal's Pad. Vasnatraodada Patil Institute of Technology, Budhgaon,(Diploma) Sangli"
167,6267,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur"
168,6268,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar"
169,6269,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli"
170,6270,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara"
171,6271,"Pune Institute of Computer Technology, Dhankavdi, Pune"
172,6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune"
173,6273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune"
174,6274,"Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of  Management,  Pune"
175,6275,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati"
176,6276,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune"
177,6277,"Dr. J. J. Magdum  Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur"
178,6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune"
179,6281,"Modern Education Society's College of Engineering, Pune"
180,6282,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune"
181,6283,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli"
182,6284,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune"
183,6285,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune"
184,6288,"Bharati Vidyapeeth's College of Engineering, Kolhapur"
185,6289,"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune"
186,6293,"Kai Amdar  Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur"
187,6298,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune"
188,6302,"Gourishankar Educational & Charitable Trust's Satara College of Engineering & Management, Limb, Satara"
189,6303,"Dr. Ashok Gujar Technical Institute's  Dr. Daulatrao Aher College of Engineering, Karad"
190,6304,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli"
191,6305,"S.D.N.C.R.E.S'S.Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara"
192,6307,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli"
193,6308,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)"
194,6310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune"
195,6311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi"
196,6312,"Abhinav Education society College of Engineering and Technology (Diploma), Wadwadi, Tal.  Khandala"
197,6313,"Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali"
198,6315,"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala"
199,6317,"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)"
200,6318,"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi"
201,6319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur"
202,6320,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli"
203,6321,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur"
204,6322,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi"
205,6323,"D. Y. Patil College of Engineering, Ambi, Talegaon, Maval"
206,6324,"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor"
207,6325,"Alard  Charitable Trust's Alard College of Engineering and Management, Pune"
208,6326,Karmayogi Institute of Technology
